(466, 9.150150223545221)
(536, 8.743195690250197)
(332, 8.33624115695517)
(685, 8.245806816222943)
(62, 7.29624623853455)
(483, 7.251029068168436)
(881, 5.849296786818904)
(755, 5.57799376462222)
(905, 5.442342253523878)
(308, 5.261473572059423)
(117, 4.764084698032169)
(398, 4.447564505469372)
(599, 4.08582714254046)
(817, 4.08582714254046)
(89, 4.040609972174346)
(864, 3.498003927780979)
(593, 3.317135246316523)
(517, 3.1814837352181815)
(899, 3.1362665648520673)
(777, 3.0910493944859536)
(670, 2.910180713021498)
(880, 2.81974637228927)
(113, 2.774529201923156)
(757, 2.5936605204587004)
(947, 2.5936605204587004)
(647, 2.5484433500925863)
(434, 2.4580090093603584)
(863, 2.4580090093603584)
(518, 2.3223574982620168)
(335, 2.2771403278959026)
(221, 2.1867059871636747)
(450, 2.141488816797561)
(502, 2.141488816797561)
(581, 2.051054476065333)
(589, 2.051054476065333)
(156, 2.005837305699219)
(840, 2.005837305699219)
(892, 1.9606201353331052)
(800, 1.9154029649669913)
(836, 1.7345342835025355)
(890, 1.7345342835025355)
(516, 1.6893171131364215)
(272, 1.6440999427703076)
(387, 1.6440999427703076)
(649, 1.6440999427703076)
(352, 1.5536656020380797)
(86, 1.5084484316719657)
(320, 1.5084484316719657)
(347, 1.4632312613058518)
(501, 1.4632312613058518)
(731, 1.4632312613058518)
(931, 1.4632312613058518)
(205, 1.4180140909397376)
(343, 1.4180140909397376)
(92, 1.3275797502075097)
(218, 1.3275797502075097)
(847, 1.3275797502075097)
(886, 1.3275797502075097)
(60, 1.2823625798413958)
(267, 1.2823625798413958)
(456, 1.2823625798413958)
(469, 1.2823625798413958)
(66, 1.2371454094752818)
(468, 1.2371454094752818)
(64, 1.191928239109168)
(435, 1.191928239109168)
(15, 1.146711068743054)
(429, 1.146711068743054)
(571, 1.146711068743054)
(125, 1.10149389837694)
(439, 1.10149389837694)
(475, 1.10149389837694)
(485, 1.10149389837694)
(807, 1.10149389837694)
(958, 1.10149389837694)
(602, 1.056276728010826)
(940, 1.056276728010826)
(279, 1.0110595576447121)
(404, 1.0110595576447121)
(430, 1.0110595576447121)
(578, 1.0110595576447121)
(509, 0.9658423872785983)
(528, 0.9658423872785983)
(794, 0.9658423872785983)
(42, 0.9206252169124843)
(539, 0.9206252169124843)
(780, 0.9206252169124843)
(845, 0.9206252169124843)
(91, 0.8754080465463704)
(207, 0.8754080465463704)
(275, 0.8754080465463704)
(532, 0.8754080465463704)
(944, 0.8754080465463704)
(482, 0.8301908761802564)
(705, 0.8301908761802564)
(23, 0.7849737058141425)
(32, 0.7849737058141425)
(973, 0.7849737058141425)
(974, 0.7849737058141425)
(101, 0.7397565354480286)
(311, 0.7397565354480286)
(416, 0.7397565354480286)
(459, 0.7397565354480286)
