(130, 4.417506114132649)
(365, 3.8555434495296095)
(908, 3.561242460392125)
(1830, 3.091883124267687)
(1381, 3.014502260744469)
(543, 2.924436009758428)
(335, 2.7912394413987927)
(1581, 2.7087844228904445)
(1567, 2.6922934191887746)
(138, 2.5768563932770876)
(1612, 2.5134294559629766)
(1227, 2.411946356260397)
(317, 2.3091947178115335)
(60, 2.219128466825493)
(100, 2.17853522694446)
(731, 2.1442846807948404)
(1694, 2.1430161420485576)
(641, 2.109139213724128)
(1367, 2.074515049749316)
(1035, 2.0542184298088006)
(475, 2.0514276445669792)
(1237, 2.0212364224054613)
(1798, 1.9759426453644984)
(529, 1.9616151013301961)
(1454, 1.9425870201359612)
(1723, 1.9019937802549294)
(1742, 1.8855027765532608)
(1016, 1.8550578466424859)
(1036, 1.794421694570194)
(728, 1.780214060611834)
(1752, 1.7573803631787532)
(1824, 1.6711197284315582)
(1151, 1.657419509971711)
(1492, 1.6267208723116802)
(268, 1.6240025749982172)
(1203, 1.6153765115234981)
(619, 1.6114984073562917)
(1521, 1.6051557136248817)
(82, 1.5670995512364134)
(606, 1.5618441764303872)
(179, 1.4364400603693417)
(105, 1.4364400603693412)
(55, 1.4273790693244681)
(914, 1.4121566043690812)
(291, 1.3969341394136945)
(36, 1.3844299717717687)
(1689, 1.3639219287068727)
(113, 1.3562684116043022)
(1632, 1.3489108868758655)
(575, 1.324808650696502)
(47, 1.3019749532634224)
(788, 1.2613817133823901)
(750, 1.2410850934418736)
(1700, 1.2372794772030276)
(955, 1.2309367834716156)
(1810, 1.2199004963789601)
(633, 1.1914535149935803)
(152, 1.1738525398889141)
(536, 1.1713154623963495)
(1361, 1.1687783849037852)
(469, 1.1497503037095465)
(658, 1.14857690536924)
(1313, 1.1281851450227522)
(1536, 1.1216838839480583)
(697, 1.1116941413210844)
(258, 1.097486507362722)
(1288, 1.0913975213805678)
(1625, 1.0609525914697933)
(442, 1.055878436484665)
(1727, 1.0406559715292767)
(595, 1.037937674215815)
(374, 1.0214693229917584)
(1647, 1.0201479284643808)
(162, 1.0089425028722205)
(304, 1.0049556668124766)
(822, 1.0025998091408095)
(1546, 0.9925783530451797)
(666, 0.9899144216779873)
(285, 0.9810346504540104)
(802, 0.9797661117077283)
(1489, 0.9654723983344412)
(1322, 0.9531267980358016)
(631, 0.9529682306925176)
